Source,Page,Category,Climate Problem,Solution Name,Technologies,Description
"Seattle, Washington",61,Water-Related Issues,"Urban flooding, River flooding",Floodplain and Stormwater Management Projects,"Flood management technologies, stormwater management systems, habitat restoration tools","Implement projects in several urban creeks that connect floodplains, increase stormwater storage capacity, and improve culverts to minimize flooding and improve habitat."
"Seattle, Washington",62,Water-Related Issues,Increased water demand and future water needs,Water conservation programs,"Water management systems, Efficiency and conservation technologies","""Continue to invest in water conservation programs reducing per capita water use to help meet future needs and to build adaptive capacity."""
"Seattle, Washington",63,Water-Related Issues,Urban flooding risk and understanding of neighborhood-scale climate impacts,Precipitation monitoring and evaluation capabilities,"Monitoring sensors, data analytics software, weather forecasting systems","""Expand precipitation monitoring and evaluation capabilities to mitigate future urban flooding risk and enhance understanding of neighborhood-scale climate impacts."""
"Seattle, Washington",64,Extreme Weather Events,"Increased temperatures, storms, and flooding affecting transportation infrastructure",Climate Impacts Evaluation,"Data analytics, Climate risk assessment tools","""Evaluate climate impacts to transportation infrastructure and operations"" to identify critical needs for emergency response and community access, prioritizing strategies for enhancing resilience."
"Seattle, Washington",65,Water-Related Issues,Urban flooding,On-site stormwater retention,"Stormwater management systems, green roofs, permeable pavements",Increasing on-site stormwater retention in development codes and private projects can help manage heavy precipitation and mitigate urban flooding.
"Seattle, Washington",67,Food Systems,Food security and access to healthy food in the face of climatic changes,Seattle Community Farm,"Urban agriculture techniques, Community organizing","The Seattle Community Farm educates and increases food security for residents, producing organic food that contributes to local food banks."
"Norfolk, Virginia",11,Water-Related Issues,Flooding,Innovative Water Management Practices,"Water management systems, rain barrels, stormwater management techniques","Collaborative efforts are being developed with the community to create systems for managing rain runoff in yards, planters, rain barrels, and streets to reduce street flooding in the historic coastal neighborhood of Chesterfield Heights."
"Norfolk, Virginia",25,Health Risks,Connecting communities in need and addressing social issues stemming from climate challenges.,Community Technology Experiments,"Communication platforms, Social connectivity tools","""Collaborating with local leaders... and experiment with new technologies to find ways to help connect people in need."""
"Norfolk, Virginia",28,Coastal flooding (incl. sea level rise),The need for new areas to mitigate risks,Open Space Creation,"Urban design tools, landscape architecture methodologies","Leveraging infrastructure investments to ""create new open spaces for citizens,"" which can act as buffers against flooding and increase community resilience to climate impacts."
"Norfolk, Virginia",29,Water-Related Issues,Flooding and water management strategies,Virginia Dutch Dialogues,"Design thinking, water management technologies, urban planning tools","The Virginia Dutch Dialogues generated ""innovative ideas for living with water,"" focusing on next-generation water management strategies and revitalization of neighborhoods through water management."
"Norfolk, Virginia",30,Water-Related Issues,Flood mitigation,Water plazas and underground storage facilities,"Water plazas, Underground storage facilities",These Dutch innovations were explored as part of Norfolk’s collaboration with global experts to provide peer critiques and enhance flood mitigation strategies.
"Norfolk, Virginia",31,Water-Related Issues,Flooding,Comprehensive flood risk study,"Hydraulic modeling, Risk assessment, Urban planning","""Working together, the City of Norfolk and the U.S. Army Corps of Engineers will conduct a comprehensive study of flooding in Norfolk. The study will evaluate options to reduce the city’s flooding risk."""
"Norfolk, Virginia",32,Water-Related Issues,Coastal flooding (incl. sea level rise) and Urban flooding,Innovative water management solution,"Rain gardens, Cisterns, Living shorelines, Marshes, Streams, Berms","This solution includes holding, absorbing, and filtering excess water in yards, streets, and new retention areas. It combines rain gardens, cisterns, living shorelines, marshes, streams, and berms to create a system that works together to manage sea level rise and precipitation flooding in the city."
"Norfolk, Virginia",34,Extreme Weather Events (indirectly related),Urban design and pedestrian safety,Better Block Demonstrations,None specified,"Through Better Block demonstration projects, the city tested design ideas to create new businesses, expand public spaces, and improve pedestrian experiences, driving permanent improvements that enhance resilience to urban flooding and other climate impacts."
"Norfolk, Virginia",35,Extreme Weather Events,Urban development and economic revitalization,Better Block Demonstration Project,"Planning tools, Infrastructure development tools","The Better Block demonstration project aimed to test ideas for a Downtown Arts and Design District, leading to significant redevelopment and economic revitalization in the area."
"Norfolk, Virginia",44,Health Risks,Advancing social and economic resilience,Social Impact Bonds,"Financial instruments, Social finance",The City of Norfolk is investigating the use of social impact bonds to finance programs that advance social and economic resilience.
"Norfolk, Virginia",47,Extreme Weather Events,Risk awareness during storms,Communications Strategy,"Communication platforms, data sharing","The City of Norfolk has convened a working group to create a communication strategy aimed at raising awareness of risks and resources to keep persons and property safe during storms, thus helping communities prepare for extreme weather events."
"Norfolk, Virginia",48,Water-Related Issues,Increased water demand (associated financial stress),Bank On Norfolk Program,"Financial services technology, education platforms","Bank On Norfolk helps families build financial strength by connecting them to banking services, education, and mentoring, which can indirectly contribute to resilience against water-related financial challenges."
"Norfolk, Virginia",49,Extreme Weather Events,Community support through local giving during emergencies,We Feed Norfolk,"Mobile technology, Communication platforms","""We Feed Norfolk uses mobile technology to communicate opportunities for residents to volunteer and give back to other residents."""
"Norfolk, Virginia",20,Urban flooding,Environmental degradation and stormwater management issues,Green Infrastructure Plan,"Green infrastructure solutions, natural asset management tools","The Green Infrastructure Plan aims to protect and enhance the city’s natural assets that help improve environmental health and manage stormwater, ensuring better resilience against flooding."
"Norfolk, Virginia",23,Extreme Weather Events,Extreme heat,Building Efficiency Improvements,"Energy-efficient air conditioning units, LED lighting, automated fixtures","""Actions made by General Services that increase energy efficiency include: replacing old, broken down AC units with more energy efficient units."""
"Norfolk, Virginia",28,Extreme Weather Events,Resilience during extreme weather events and to provide refuge during emergencies,Solar Emergency Shelters,"Solar energy, Battery backup systems","""Create resilient shelters by installing solar plus battery backup at schools and existing shelters; identify potential grant assistance. Bring on one shelter per year."""
"New Orleans, Louisiana",11,Extreme Weather Events,Infrastructure resilience to storms and flooding,Green infrastructure maintenance plan,"Green infrastructure maintenance strategies, Contract management systems","The City is creating a maintenance plan for green infrastructure that includes a contract “debundling” process, which allows for smaller-value projects and increases accessibility for local contractors involved in climate resilience projects."
"New Orleans, Louisiana",12,"Extreme Weather Events, Water-Related Issues, Health Risks, Geological Hazards",Lack of consistent and accurate updates regarding climate action,Climate action dashboard,"Web-based dashboard, data analytics","The City will establish a climate action dashboard to centralize information about climate action and track progress annually, increasing transparency and engagement."
"New Orleans, Louisiana",16,Water-Related Issues,Urban flooding,Rain barrels and stormwater capture initiatives,"Rain barrels, rain gardens, stormwater capture systems","Greenlight New Orleans has implemented initiatives focused on capturing stormwater through the installation of rain gardens and over one thousand rain barrels, which have retained a total of over 2 million gallons of water since implementation."
"New Orleans, Louisiana",18,Water-Related Issues (Urban flooding),Promoting equitable housing and access to transit,Transit-Oriented Communities,"Urban development planning tools, mixed-use zoning regulations","Development of walkable neighborhoods connected to effective transit options, aiming to improve access to jobs for people without a car."
"New Orleans, Louisiana",20,Water-Related Issues,Urban flooding,Compost NOW,"Composting services, DIY composting programs, backyard compost bins","Compost NOW helps to reduce urban flooding by providing compost-enriched soil that has better water retention qualities, making it a valuable asset in efforts to slow and store stormwater."
"New Orleans, Louisiana",22,Water-Related Issues,Urban flooding,Green Infrastructure Systems,"Permeable materials, rain barrels, trees, green spaces","""Green infrastructure systems naturally hold and retain stormwater."" Examples include rain barrels, tree rows, and replacing impermeable surfaces with greenspace or permeable materials."
"New Orleans, Louisiana",23,Extreme Weather Events,Extreme weather events causing power outages,Solar and Battery-Powered Resilience Hubs,"Solar panels, battery storage systems",The Community Lighthouse project aims to create 16 solar and battery-powered resilience hubs at churches and community centers to ensure community access to power during outages.
"New Orleans, Louisiana",24,Water-Related Issues,"Water stress, Increased water demand",Smart meters,"Smart meter technology, Data analytics","As part of improving water demand management, the SWB plans to install smart meters across the City, providing better insights into water usage and helping manage demand and impacts on energy use effectively."
"New Orleans, Louisiana",28,Water-Related Issues,Urban flooding,Make resilience improvements to critical water and drainage infrastructure,"Water management systems, drainage improvements","""Make resilience improvements to critical water and drainage infrastructure."""
"Washington, D.C.",6,Water-Related Issues,"Coastal and inland flooding, heavy precipitation events",Hazard Mitigation Planning Updates,"Risk assessment tools, simulation models",The CRDC informed updates to the Hazard Mitigation and Comprehensive plans to better prepare for climate risks.
"Washington, D.C.",8,Health Risks,Heat stress,Evaluating Cooling Centers,"Spatial analysis tools, accessibility assessment frameworks","""(13.3) Evaluate existing cooling centers, based on the location, accessibility, and needs of frontline residents."""
"Washington, D.C.",9,Extreme Weather Events,Extreme heat,Promoting Cool Pavement,Cool pavement materials,This intervention focuses on utilizing materials that reflect more sunlight and absorb less heat for urban pavements to combat extreme heat situations.
"Washington, D.C.",12,Water-Related Issues,Urban flooding,Stormwater Retention Credit Trading Program,"Green infrastructure, rain gardens, green roofs, rain barrels","""The SRC Trading Program allows property developers to meet green infrastructure mandates by purchasing off-site credits... credit-generating green infrastructure projects (such as rain gardens, green roofs, and rain barrels) can slow, capture, and filter stormwater runoff."""
"Washington, D.C.",13,Water-Related Issues,Urban flooding due to expanding floodplains and heavy precipitation,Stormwater model using Atlas 14 data,"NOAA Atlas 14 data, stormwater modeling software","Ann Arbor created a stormwater model using Atlas 14 data from NOAA to visualize and assess the potential effects of differently sized storm events, helping to identify problem areas and optimize solutions."
"Washington, D.C.",14,Water-Related Issues,Urban flooding due to heavy precipitation and sea level rise,Futureproof sewer and stormwater systems,"Green infrastructure, Gray infrastructure, Integrated flood modeling, Climate-informed flood models, Intensity-Duration-Frequency (IDF) curves","The District will update design standards for water and drainage infrastructure to address projected increases in precipitation and intensities, increasing stormwater system capacity through green and gray infrastructure. An integrated flood model will identify communities most exposed to flooding and where targeted stormwater management planning is needed."
"Washington, D.C.",15,Water-Related Issues,Stormwater pollution and managing stormwater for climate change adaptation,"Philadelphia’s Green City, Clean Waters program","Green infrastructure systems, Stormwater retrofitting technologies","This program emphasizes the use of green infrastructure to reduce stormwater pollution from the City’s combined sewer system, decentralizing stormwater management to better accommodate unpredictable climate conditions."
"Washington, D.C.",17,Water-Related Issues,Increasing the ability of properties to withstand flooding,Flood-resiliency measures incentives,"Financial incentives, grants, flood-resilient construction materials","""Provide incentives to encourage private property owners and developers to implement flood-resiliency measures,"" promoting proactive adaptations to reduce flood risk."
"Washington, D.C.",18,Health Risks,Extreme heat,Analysis of Green Infrastructure Implementation,"Analysis tools, green infrastructure evaluation methodologies","OP, DOEE, and DC Health will analyze the effectiveness of green infrastructure in reducing Urban Heat Islands (UHIs) and its impact on communities at risk of heat-related illnesses."
"Washington, D.C.",19,Buildings and Development,Vulnerability of critical facilities to climate change,Adaptation Solutions Identification,"Risk assessment models, Decision support systems, Geographic information systems (GIS)","The requirement for all new buildings to ""consider climate risks and identify adaptation solutions by 2032,"" particularly for critical facilities such as hospitals and emergency shelters."
"Washington, D.C.",20,Extreme Weather Events,Increased risk of power outages during extreme weather events,Resilient Backup Power Systems,"Solar power, Battery storage, Backup generators","The solution ensures that all identified critical facilities in the District have access to backup power for emergencies, with a focus on elevated installations to avoid flooding and using sustainable clean energy resources. This helps maintain essential services during natural hazards."
"Washington, D.C.",21,Extreme Weather Events,Vulnerability of critical facilities,Building Code Updates,"Building codes, Regulatory frameworks","""The District will assess best practices identified through this process, and determine key findings that should be incorporated into design guidelines, building codes, or regulations."""
"Washington, D.C.",22,Extreme Weather Events - Extreme heat,Urban Heat Island (UHI) effect and heat risks,Green Roofs,"Vegetation, Roofing technologies, Stormwater management systems","Green roofs use vegetation to reduce roof temperatures and to remove heat from the surrounding area, demonstrating temperatures 30-40 degrees Fahrenheit cooler than conventional roofs. By deploying such roofs at scale, neighborhoods can experience temperature reductions, contributing to climate adaptation."
"Washington, D.C.",23,Extreme Weather Events,Extreme Heat,Heat-Planning Effort,"Geographic information systems (GIS), data analysis tools",The District Government's comprehensive heat-planning effort will assess neighborhoods sensitive to heat and identify priority areas for pilot programs related to cool roofing. This data-driven approach will help target interventions more effectively.
"Washington, D.C.",25,Water-Related Issues,Flooding and climate-related risks,Neighborhood-Scale Resilience Hubs,"Community resilience systems, emergency management frameworks","Recommendations from the Equity Advisory Group include implementing neighborhood-scale resilience hubs to provide ongoing and emergency services, increasing neighborhood resiliency against flooding and other climate-related risks."
"Washington, D.C.",26,Health Risks,Heat stress and community preparedness,Community Emergency Response Team (CERT) educational programs,"Educational materials, training programs, community engagement technologies","The District supports heat stress education at grassroots levels, including schools and community centers, to improve community preparedness through training and resource dissemination."
"Washington, D.C.",27,Health Risks,Measurement of health and safety during severe weather events,Data Collection and Outcome-Focused Indicators,"Data analytics, health monitoring systems","""We will collect data and lessons with a goal of developing more outcome-focused indicators for evaluating progress,"" which includes ""reductions in ambulance dispatch calls or hospital admissions during severe weather events."""
"Washington, D.C.",28,Health Risks,Extreme heat,Heat Stress Preparedness Training,"Community engagement platforms, training materials, survey assessment tools",This solution involves developing training programs to encourage residents and businesses to participate in heat stress preparedness and response initiatives. The training aims to educate communities on recognizing early signs of heat illness and preventative care.
"Washington, D.C.",29,Health Risks,Extreme heat,Heat stress training materials and programs,"Survey tools, training development platforms, outreach materials","Using outreach results, DOEE plans to work with partners to expand and create ""training materials, focusing on preparedness for climate-change impacts, extreme heat, and the UHI effect."""
"Washington, D.C.",30,Extreme Weather Events,"Economic impacts of severe weather events, specifically flooding",FloodSmart Homes Program,"Data analysis, flood risk assessment tools, home assessment technologies","The FloodSmart Homes program acts as a source of important information for District residents within the floodplain, providing information about individualized risks and potential solutions. It includes free home resilience audits and incentives for home improvements, such as flood insurance premium discounts for specially constructed homes or direct subsidies."
"Washington, D.C.",31,Urban flooding,Rain-induced flooding,RainReady Home Program,"Resiliency assessment tools, retrofit technologies, financial support systems","""The Center for Neighborhood Technology's RainReady Home program provides city residents an opportunity to receive a resiliency assessment and financial support to implement retrofits that increase their home’s resiliency to rain-induced flooding."" This program also offers services such as home assessments, improvement guidance, quality assurance during retrofits, and monitoring and support throughout the process."
"Washington, D.C.",32,Extreme Weather Events,Extreme heat,Cool Pavement Program,"Pavement materials technology, urban planning tools","A proposed intervention based on UHI data to ""pursue interventions to cool the District’s hottest areas"" through the installation of cool pavements."
"Washington, D.C.",33,Extreme Weather Events,Extreme heat,Cool Neighborhoods NYC,"Data from Heat Vulnerability Index, mobile device-compatible web updates, educational materials and training content.","The Cool Neighborhoods NYC plan includes strategies for heat mitigation, adaptation, and monitoring, such as the Million Trees NYC street planting initiative and improved access to cooling centers for frontline communities."
"Washington, D.C.",34,Extreme Weather Events,Displacement following disaster events,Community Resilience Hubs,"Solar panels, backup power systems, Internet connectivity, recharging stations.","""Resilience Hubs are community-serving facilities, augmented to provide comprehensive services and to coordinate resource distribution before, during, or after a natural hazard event."" These hubs provide emergency services, basic supplies, and essential information to support communities during extreme weather events, thereby decreasing displacement risks."
"Washington, D.C.",35,Extreme Weather Events,Communities' adaptive capacity to extreme weather events,Scaling Resilience Hub Programs,"Survey and data analysis tools, community feedback mechanisms","Using lessons from pilot hubs to scale up the resilience program across the District, enhancing community readiness and capacity for future emergencies."
"Washington, D.C.",38,N/A,General climate adaptation and resilience planning,SDC 2.0 resilience checklist,"Checklist tools, integration frameworks",The SDC 2.0 plan includes a resilience checklist designed as a tool and resource for all District agencies to help integrate climate change considerations into development and capital planning projects.
"Washington, D.C.",41,"Extreme Weather Events, Health Risks",Public safety and health risks associated with extreme heat,Resilience hubs and cooling infrastructure,"Geographic information systems (GIS), cooling technology (e.g., cool roofs), urban forestry management","""Proportion of District residents living within a 10-minute walk from a resilience hub"" reflects the community's preparation for extreme heat events, while ""reductions in UHI temperature differentials after installing cooling infrastructure"" indicates the use of technology to mitigate urban heat islands."
"Washington, D.C.",44,Water-Related Issues,Urban flooding,Blue-green infrastructure,"Bioswales, parks designed to flood, integrated conveyance systems","""Infrastructure that is designed to control or prevent urban flooding by using green infrastructure concepts...delivers water quality benefits as well as other environmental, social, and economic benefits."""
"Washington, D.C.",45,Extreme Weather Events,Energy resilience during extreme heat events,Distributed energy resources (DER),"Solar panels, thermal energy recovery systems, energy storage, demand response systems","DER includes ""energy efficiency... demand response, distributed storage, distributed generation (e.g., solar panels, thermal energy recovery systems), microgrids, and electric vehicles,"" which can enhance energy resilience especially during heat waves."
"Washington, DC",8,Water-Related Issues,Increased risk of flooding along the Potomac and Anacostia rivers due to sea level rise and heavy rains,Flood Risk Understanding and Flood Defenses,"Flood risk modeling, GIS mapping, green infrastructure, stormwater management systems","This solution focuses on ""increasing our understanding of flood risk and building defenses,"" which includes both built and nature-based approaches to mitigate flooding."
"Washington, DC",18,"Extreme Weather Events, Water-Related Issues",The expected impact of climate change on built infrastructure and community resources,No information.,Not specified in the content.,"""Climate Ready DC summarizes the expected impact of climate change on built infrastructure and community resources. It also outlines 77 adaptation strategies, designed to prepare the District for the impacts of climate change."""
"Washington, DC",22,Extreme Weather Events,Extreme heat,Cool Neighborhoods NYC,"Green infrastructure, cool roofs",The City is combining physical interventions — such as green infrastructure and cool roofs — with other efforts that promote communication and social cohesion — such as a buddy system to check on vulnerable residents — to protect New Yorkers from extreme heat.
"Washington, DC",23,Extreme Weather Events,Improving safety and energy efficiency in response to extreme weather challenges,Smart technology use in urban infrastructure,"Smart lighting, IoT (Internet of Things) technology, energy efficiency systems","Vejle is ""increasing the use of smart technology across the city, starting with streetlights, to improve energy efficiency, mobility, and safety."""
"Washington, DC",28,Water-Related Issues,Flood risk mitigation,Design Approaches Workshop,"Collaborative design techniques, stakeholder workshops","""A design workshop with cross-sector stakeholders that explored design approaches to yield multiple benefits including mitigating flood risk."""
"Washington, DC",33,Extreme Weather Events,Insufficient preparation for climate impacts in urban planning,Design climate-ready neighborhoods and developments,"Urban planning software, Green infrastructure elements, Climate-responsive design tools",This initiative involves planning and designing neighborhoods that are adaptable to shifting climate conditions and reduce vulnerability.
"Washington, DC",35,Water-Related Issues,Flooding,Microgrid Pilot Project,"Microgrid technology, energy storage systems","""Pilot a microgrid on the St. Elizabeth’s East campus by 2023."""
"Washington, DC",37,Water-Related Issues,Urban flooding and extreme heat,Integrated infrastructure systems,"Urban design, systems thinking, green infrastructure","The design of parks, roads, and sidewalks as a coordinated system to enhance resilience against flooding and provide cooling effects during hot summer days. This represents a shift from traditional infrastructures like levees to a more integrated approach."
"Washington, DC",39,Water-Related Issues,Flood risk and socio-economic disparities,Community-centered process,"Community engagement platforms, urban planning tools, data analysis software for assessing vulnerabilities.","A community-centered process that aligns ongoing and planned investments to achieve community objectives and lower flood risk, particularly in areas identified as vulnerable to flooding."
"Washington, DC",77,Water-Related Issues,"Increased water demand (indirectly, as reducing reliance on cars can help manage urban heat and reduce water stress impacts)",Expansion of Bicycle Infrastructure,"Capital Bikeshare, electrification of bikes","""Expand bicycle infrastructure, including increased investment in Capital Bikeshare infrastructure and electrification."" This solution promotes cycling, which can help to minimize the urban heat effect and manage water demand indirectly by reducing emissions from typical transportation."
"Washington, DC",84,Extreme Weather Events,Increased vulnerability of buildings to climate risks,Training on green building techniques,"Educational platforms, Sustainable construction materials, Innovative design tools","""Train the building industry on green building requirements and cutting-edge green building techniques."" This ensures that construction practices evolve to incorporate resilience against climate-related threats."
"Washington, DC",85,Water-Related Issues,Inadequate building retrofits in high-risk areas,Policy Development for Relocation,"Policy analysis tools, risk assessment frameworks",The development of policies and programs to support the relocation and removal of uses in areas where building retrofits are inadequate or too expensive given the level of risk.
"Washington, DC",86,Extreme Weather Events,Inefficient capital project planning in light of climate risks,Expert Infrastructure Review Committee,"Assessment frameworks, strategic planning tools","""Charter an expert infrastructure review committee to assess agency capital budget requests and advise the Executive Office of the Mayor."" This committee aims to evaluate climate resilience in proposed projects to ensure effective use of funds."
"Washington, DC",89,"Extreme Weather Events, Water-Related Issues",Lack of accessible information on climate risk and adaptation progress,Public geospatial tool for climate risk,"Geospatial data visualization, Web applications, Geographic Information Systems (GIS)","A publicly available geospatial tool that communicates climate risk and tracks climate adaptation progress, managed by an expert for updates and assistance to various stakeholders."
"Washington, DC",95,"Extreme Weather Events, Water-Related Issues",Supporting watershed-level adaptation efforts,Climate Resilience Subcommittee,"Collaborative platforms, meeting management software, climate data analytics","The establishment of a subcommittee to support regional efforts in adapting to climate change impacts, promoting coordinated actions across jurisdictions."
"Washington, DC",96,Health Risks: Heat stress,Impact of rising temperatures on vulnerable populations,Accessible cooling areas or centers,"Community planning, Resource mapping","Ensuring that all residents have access to free, accessible cooling areas or centers within walking distance of their homes to mitigate the effects of extreme heat."
"Washington, DC",97,Extreme Weather Events,Extreme Urban Heat,Integrating Satellite and Ground Measurements,"Satellite imaging, Ground sensors, Data analytics",This solution involves using a combination of satellite data and ground measurements to predict locations that are experiencing extreme heat in urban areas.
"Washington, DC",100,Water-Related Issues,Water stress,Recharge local groundwater,None specified,Techniques to recharge local groundwater help manage water resources and mitigate the effects of drought and increased water demand.
"Washington, DC",101,Water-Related Issues,Flood risk management,Flood Insurance Management Initiative,"Flood insurance program management systems, Flood risk assessment tools, Public awareness campaigns, Geographic Information System (GIS) for mapping.","This initiative aims to bring the District’s flood risk management program into good standing with FEMA, increase awareness of and mitigate risk from flooding, and develop supplementary flood insurance options. This is critical for adapting to climate-induced flooding risks."
"Washington, DC",104,Extreme Weather Events,Providing resources and refuge during disasters such as floods and extreme weather events,Resilience Hubs,No specific technologies mentioned,"The Resilience Hubs will serve as trusted community facilities in high climate risk areas, acting as a place of refuge and hub for resources and information during disasters."
"Washington, DC",105,"Extreme Weather Events, Water-Related Issues",Power outages and community resource shortages during extreme weather events,Resilience hub,"Solar panels, generators, reserve batteries, refrigeration systems, charging stations","The resilience hub provides ""reliable energy systems to sustain operations during a power outage"" and resources to meet community needs, including fresh water, food, and medical supplies. It is trusted by the community and designed to withstand shocks."
"Washington, DC",106,Extreme Weather Events,Increased power outages due to hotter temperatures and intense storms,Microgrid Pilot,"Distributed energy systems, Microgrid technology","""Microgrids are distributed energy systems that have the ability to separate (or island) themselves from the larger grid. This allows them to maintain power in the event of a larger outage."""
"Washington, DC",123,"Extreme Weather Events, Water-Related Issues","Various civic challenges related to extreme weather, urban flooding, and resilience of infrastructure",Smarter DC Initiative,"Smart city technologies, Internet of Things (IoT), sensor-based systems","The Smarter DC initiative aims to explore how smart city technologies can be used to address existing problems faced by the District, particularly by leveraging networks and IoT. It involves developing technical specifications for connected devices, expanding access to smart technologies, and creating a single point of contact for industry collaboration."
"Washington, DC",124,Extreme Weather Events,Extreme Weather Events,Intelligent street lighting adaptive to weather,"Smart lighting technology, weather sensors","Street lighting systems that adjust operations based on real-time weather conditions, enhancing safety and efficiency during adverse weather events."
"Washington, DC",126,General climate resilience,Lack of innovative tools to utilize data effectively,Partnerships with Academic Institutions and Nonprofits,"Data analysis tools, Open data platforms",Launching partnerships to develop tools aimed at increasing the utility and usage of open data can lead to enhanced decision-making and resilience strategies regarding climate adaptation.
"Washington, DC",127,"Water-Related Issues (by facilitating mobility and reducing congestion, which can contribute to urban flooding)",Urban mobility and environmental challenges related to transportation,Autonomous Vehicles (AVs),"Autonomous vehicles, Electric vehicles, Infrastructure for vehicle maintenance","The implementation of autonomous vehicles and electric circulator buses aims to enhance mobility while addressing environmental goals, including reducing pollution. Additionally, the electrification of the DC Circulator fleet includes preparations to maintain operations during grid failures."
"Washington, DC",150,Extreme Weather Events,Increase resilience to climate change at the household level,Pilot a microgrid,"Microgrid technology, Renewable energy sources, Energy storage systems",The microgrid pilot on the St. Elizabeth's East campus aims to enhance energy resilience and reliability in response to climate challenges.
"Broward County, Florida, USA",1,Water-Related Issues,Coastal flooding (incl. sea level rise),"Flood mitigation strategies (elevated seawalls, groundwater and surface storage, improved conveyance)","Civil engineering technologies, hydraulic modeling, stormwater management systems","A series of adaptation strategies such as elevated seawalls and improved storage and conveyance systems are recommended to reduce the risk and impact of flooding, reducing the number of residential properties at risk by 80,000."
"Broward County, Florida, USA",6,Water-Related Issues,Safeguarding the water supply against rising sea levels and flooding,Green infrastructure and flood mitigation,"Green infrastructure, flood mitigation systems","The actions include promoting green infrastructure which can help manage runoff and reduce flooding, thus protecting the underground freshwater aquifer from saltwater intrusion."
"Broward County, Florida, USA",8,Extreme Weather Events and Water-Related Issues,Uncertain and evolving conditions due to climate change,Dynamic Adaptive Approaches,"Adaptive management frameworks, modeling software","Implementing dynamic adaptive approaches to infrastructure planning allows for flexibility in response to changing climate conditions, accommodating variations in extreme weather events and water availability."
"Broward County, Florida, USA",12,Extreme Weather Events,Inadequate evaluation of infrastructure projects for climate resilience,Utilization of Resiliency Checklists,"Checklist development tools, collaboration platforms","""Work with County, municipal and agency partners to develop, refine, share and utilize screening/scoping checklists for infrastructure projects, reviews of applications for (re)development."""
"Broward County, Florida, USA",13,Water-Related Issues,Water-Related Issues (coastal flooding),Feasibility of shore power at Broward County’s Port Everglades,"Power distribution infrastructure technology, energy management systems","Coordinate with stakeholders to update the port's Master/Vision Plan, potentially reducing environmental impacts and improving resilience against coastal flooding."
"Broward County, Florida, USA",15,Health Risks,Heat stress,Training programs for response protocols,"Training software, Simulation tools","""Encourage training programs to incorporate response protocols for heat stress."" This solution provides necessary training to first responders and community service providers to effectively deal with public health emergencies related to extreme heat."
"Broward County, Florida, USA",16,Multiple (cross-cutting issue),Environmental and Climate Change Assessment,Research Collaboration,"Research assessment tools, educational platforms","Collaborate with public and private universities to develop research, assessment tools, and educational programs that report environmental and relevant trends."
"Broward County, Florida, USA",17,Health Risks,Health risks due to extreme heat,"Weatherization (e.g., supplies, windows)","Insulation materials, energy-efficient windows","""Solicit state and federal grants for weatherization"" to improve energy efficiency and thermal comfort in buildings, thereby reducing heat stress."
"Broward County, Florida, USA",21,Extreme Weather Events,Increased demand for resilient transportation solutions during severe weather,Expansion of electric vehicles and charging infrastructure,"Electric vehicles, charging infrastructure","""Continue engagement with the Southeast Florida Clean Cities Coalition to review lessons learned, share resources, and seek partnerships to expand EV investment and related infrastructure improvements."""
"Broward County, Florida, USA",23,Extreme Weather Events,Transportation service resilience,Pilot technologies and services,"Pilot programs, public-private partnerships, transportation technology solutions","""Encourage the piloting of technologies and services, including public-private partnerships, relating to increasing resilience, provision of transportation services..."""
"Broward County, Florida, USA",25,Extreme Weather Events,Heavy precipitation,Update design storm criteria,"Stormwater management, design storm criteria analysis","""Update design storm standards for 72-hour, 24-hour, and shorter duration rainfall events to account for future conditions rainfall intensification."" This adaptation action aims to prepare stormwater infrastructure for the increased intensity of rainfall events."
"Broward County, Florida, USA",26,Water-Related Issues,Coastal flooding (incl. sea level rise),Collect LiDAR data,"LiDAR technology, Geographic Information Systems (GIS)",Update the County’s LiDAR database with the 2018 USGS data set and continue to partner with agencies to collect and maintain LiDAR data refinements for countywide planning.
"Broward County, Florida, USA",27,Water-Related Issues,"Coastal flooding, Urban flooding",Improve the resilience of buildings and structures,"Zoning and building code frameworks, resilience optimization tools","""Establish an ongoing process to address local zoning and building code requirements, and make recommendations to optimize the resilience of existing and proposed structures in areas at risk to inundation and climate change."""
"Broward County, Florida, USA",28,Water-Related Issues,Water quality concerns due to septic system overload,Phasing Out Septic Systems,"Data assessment tools, community engagement platforms, environmental monitoring tools","""Perform an assessment to determine the current number of households with septic systems"" and ""identify funding strategies and provide subsidies for phasing out septic systems."""
"Broward County, Florida, USA",29,Extreme Weather Events,Resilience planning and investments,Adaptive Pathways,"Scenario planning tools, Decision support systems","""Develop dynamic and adaptive pathways to support efficient and effective resilience planning and investments."""
"Broward County, Florida, USA",34,Water-Related Issues,Water stress (through the use of native plants),Increasing the availability of native regional plants,"Seed bank management systems, agricultural planning software, biodiversity tracking tools","""Contract with growers to collect/harvest native seed banks and increase the diversity and availability of plants for native landscaping supply."""
"Broward County, Florida, USA",35,"Health Risks (indirectly, by addressing the health of coral reefs)",Increased water demand and impacts of climate change on marine ecosystems,Public outreach campaign on coral reefs,"Communication platforms, educational tools","The plan calls for a public outreach campaign to increase awareness of threats to coral reefs from climate change and sea-level rise, fostering community support for restoration efforts that can indirectly support ecosystem resilience."
