Source,Page,Technologies,Description,
"Seattle, Washington",44,"Building codes, flexible code compliance systems","""Continue supporting the adaptive reuse of existing buildings through flexible approaches to code compliance, and identify additional ways to facilitate building reuse where appropriate.""",
"Seattle, Washington",45,"Energy performance standards, building energy codes","""Performance requirements are part of a longer-term strategy to ensure that all buildings operate at a basic level of efficiency."" The solution involves a gradual increase in efficiency standards for existing buildings and the integration of energy efficiency improvements into significant building renovations.",
"Seattle, Washington",46,Waste heat recovery systems,"""Require waste heat recovery in new buildings, where appropriate.""",
"Seattle, Washington",47,"Heat exchange systems, urban infrastructure planning","""Integrate land use and infrastructure planning to optimize opportunities for heat exchange between sources that generate excess heat (e.g. data centers or sewer lines) and buildings that require additional heat (e.g. office buildings or apartments).""",
"Seattle, Washington",53,"Waste management systems, composting bins, recycling bins","""A 'Clean Event Station' provides bins for food waste composting, recycling, and garbage at events.""",
"Seattle, Washington",54,"Program monitoring systems, recycling technologies","""Monitor and adapt programs to incorporate new technologies and recycled material markets as they become available.""",
"Seattle, Washington",55,"Solar energy, green roof technology","""Solar Hot Water on a Green Roof"" utilizes solar energy to heat water, optimizing energy efficiency and reducing the urban heat island effect.",
"Seattle, Washington",60,"Planning guidance frameworks, climate impact modeling tools","""Apply the planning methodology detailed in the City of Seattle Sea Level Rise Planning Guidance for Capital Projects to projects projected to be impacted by sea level rise.""",
"Seattle, Washington",61,"Stormwater management systems, floodplain restoration technology","""Implement projects in several urban creeks that connect floodplains, increase stormwater storage capacity, and improve culverts to minimize flooding and improve habitat.""",
"Seattle, Washington",62,"Climate modeling, Data analysis","""Work with federal and academic research groups to downscale climate data for the watersheds supplying the city’s water. Use this information to update the water supply assessment and explore impacts on the intensity of forest fires, turbidity, the timing of fall rains, and precipitation in the city.""",
"Seattle, Washington",63,precipitation monitoring technology,"""Expand precipitation monitoring and evaluation capabilities to mitigate future urban flooding risk and enhance understanding of neighborhood-scale climate impacts.""",
"Seattle, Washington",65,Living Building Challenge standards,"""Pilot an advanced green building standard, such as the Living Building Challenge, on a City facility to assess its appropriateness for resilient design and to promote similar levels of green building in the private market.""",
"Seattle, Washington",67,"Organic farming practices, community education tools","""The Seattle Community Farm, a project of Lettuce Link, a program of Solid Ground, educates, inspires, and increases food security for residents of Southeast Seattle.""",
"Seattle, Washington",73,Insulation materials and installation technology,"""Upgrades to your home energy system such as new insulation will make your home more comfortable, and you’ll save money on your energy bill.""",
"Seattle, Washington",80,"Emission-reducing technologies, diesel emissions control technologies","""This voluntary collaboration, started in 2007, represents the first and only tri-port and international clean air program. The strategy is a comprehensive air quality program to reduce diesel emissions from heavy- and medium-duty trucks, as well as ocean-going vessels, cargo-handling equipment, trains, and harbor vessels.""",
"Seattle, Washington",81,"Renewable energy sources, energy conservation strategies","""The Century Agenda goals aim to ensure the Port of Seattle is the greenest and most energy efficient port in North America.""",
"Seattle, Washington",82,"improved aerodynamics, reduced engine idling technologies, waste heat recovery, advanced combustion techniques, powertrain hybridization","The program aims to ""design a heavy-duty truck that demonstrates a 50% improvement in overall freight efficiency through technologies such as improved aerodynamics, reduced engine idling technologies, waste heat recovery, advanced combustion techniques, and powertrain hybridization.""",
"Seattle, Washington",83,Emissions inventory technology,"""The Puget Sound Maritime Air Forum issued an updated Maritime Air Emissions Inventory in 2012, the most extensive study of its kind completed in the United States and the first to include GHG emissions.""",
"Seattle, Washington",85,"Biorefinery technology, Biomass cultivation","""If successful, the UW demonstration project alone will lay the foundation to build five commercial biorefineries.""",
"Seattle, Washington",86,"Satellite-based flight guidance technology, Required Navigation Performance (RNP)","""The FAA and Alaska Airlines are collaborating on the Greener Skies project, which focuses on Required Navigation Performance (RNP)"" that ""uses satellite-based flight guidance technology to help airplanes descend more efficiently.""",
"Seattle, Washington",87,Online emissions calculation tool,"""The Office of Economic Development has developed an online tool to help businesses calculate the emissions impact of air travel so they can better manage both emissions and the cost of travel.""",
"Seattle, Washington",89,"Regulatory frameworks, emissions tracking systems","""EPA is also working to develop common-sense regulatory initiatives to reduce GHG emissions and increase efficiency in the industrial sector.""",
"Seattle, Washington",90,"Resource conservation technology, waste management systems","""Seattle Public Utilities’ (SPU) Resource Venture program provides outreach, education, and technical assistance to businesses to help them conserve resources, reduce or prevent pollution, and become more sustainable.""",
"Seattle, Washington",95,"Forum-creation tools, collaboration platforms","""By creating forums that bring like-minded or complementary organizations together to work towards mutually agreed upon goals, the City helps create a space for innovative ideas to take shape and solidify collaborations.""",
"Norfolk, Virginia",11,"Water management systems, rain barrels, planning tools","""Mason is working collaboratively...to develop innovative water management practices to curtail flooding in the historic coastal neighborhood of Chesterfield Heights."" This project includes ""ways for residents to work together to hold rain runoff in yards, planters, rain barrels, and streets, creating a system that, when implemented, will substantially reduce street flooding.""",
"Norfolk, Virginia",20,"Mentorship platforms, financial information systems, learning management systems.","""The center connects new businesses to mentors, capital, learning, legal advice, marketing, and financial information. The goal is to help new businesses grow the region’s economy.""",
"Norfolk, Virginia",25,"Social networking platforms, data analysis tools","""Collaborating with local leaders to better understand social and economic issues across Norfolk’s diverse neighborhoods and experiment with new technologies to find ways to help connect people in need.""",
"Norfolk, Virginia",28,Not specified in the content.,“Leveraging infrastructure investments to create new open spaces for citizens.”,
"Norfolk, Virginia",29,"Collaborative planning tools, community mapping technologies","""Vision 2100 is informed by the resilience thinking in this strategy; it will bring that thinking into communities, collectively map community assets, and facilitate discussions about where and how the city should make long-term investments for future growth.""",
"Norfolk, Virginia",30,"Water management technologies, water plazas, underground storage facilities","""Norfolk presented its innovative model of using water management to revitalize a low-income neighborhood, and the City of Rotterdam was used as a living lab to explore Dutch innovations, such as water plazas and underground storage facilities.""",
"Norfolk, Virginia",31,"Study methodologies, risk assessment tools","The City of Norfolk and the U.S. Army Corps of Engineers will ""conduct a comprehensive study of flooding in Norfolk"" to evaluate options to reduce the city’s flooding risk.",
"Norfolk, Virginia",32,"Water management systems, rain gardens, cisterns, living shorelines, marshes, streams, berms","""The outcome of the dialogues is an innovative water management solution that includes holding, absorbing, and filtering excess water in yards, streets, and new retention areas. The strategy developed for Norfolk combines rain gardens, cisterns, living shorelines, marshes, streams, and berms to create a system that works together to manage sea level rise and precipitation flooding in the city.""",
"Norfolk, Virginia",34,"Urban design tools, citizen engagement platforms","""Working with citizens, the city held three Better Block demonstration projects to test design ideas in the city’s downtown, Park Place, and Wards Corner neighborhoods,"" where ""citizens tested ideas for creating new businesses, expanding public spaces, and calming traffic to improve the pedestrian experience.""",
"Norfolk, Virginia",35,Planning and infrastructure tools,"""Using planning and infrastructure tools to guide development, the team tested ideas for a Downtown Arts and Design District.""",
"Norfolk, Virginia",38,"financial technology, capital funding","""The City of Norfolk is funding and administering a Global Initiatives Fund to support local exporters by providing patient, flexible capital to fund their export-related activities."" This program is designed to help local companies expand into global markets, recognizing Norfolk’s unique port asset.",
"Norfolk, Virginia",41,"Screening program, referral services","""A Universal Newborn Screening and Referral Program"" that provides services to families identified as at-risk across multiple factors that can lead to child abuse or neglect. The goal is to connect families with services to ultimately reduce the number of children who are abused or neglected.",
"Norfolk, Virginia",44,"Financial instruments, social finance","""The City of Norfolk is working with Social Finance... to investigate the use of social impact bonds.""",
"Norfolk, Virginia",45,Financial technology,"""Norfolk’s Department of Development has created four new investment funds to support local businesses and local neighborhood revitalization projects.""",
"Norfolk, Virginia",47,"Data integration, dashboard technology","""The City of Norfolk is pioneering a new resilience module to integrate key data, improve the city’s ability to respond to citizens today, and better plan for the future. The city’s Information Technology Department and Palantir have improved the city’s data integration, which gives users the ability to analyze information in a single platform.""",
"Norfolk, Virginia",48,"Financial technology solutions, banking services, education platforms.","""Bank On Norfolk takes a strategic approach to helping families build financial strength through connections to banking services, education, and mentoring."" This program ""works with unbanked and under-banked residents to increase the financial stability of low- to moderate-income families by connecting them to traditional financial services and providing them with alternatives to expensive financial transactions.""",
"Norfolk, Virginia",49,mobile technology,"""We Feed Norfolk uses mobile technology to communicate opportunities for residents to volunteer and give back to other residents. The pilot successfully engaged residents in donating over 3,500 pounds of food to the local food bank.""",
"Norfolk, Virginia",51,"Mobile app, reusable bags, communication technology","""The program distributes reusable bags to the front doors of Norfolk residents and asks them to sign up and download the We Feed Norfolk app on a smartphone."" Residents can ""leave the bag of food on their porch and press the app for a pickup.""",
"Norfolk, Virginia",52,"Financial technology, infrastructure development tools","""The cities of New Orleans and Norfolk will partner on developing innovative financing to fund infrastructure improvements and accelerate economic vitality.""",
"Norfolk, Virginia",53,"Performance dashboards, communication systems","""Measure the city’s resilience performance and institutionalize new practices by creating a resilience program performance dashboard and developing an ongoing communications system that will institutionalize resilience planning and implementation for centuries to come.""",
"Norfolk, Virginia",7,Property assessed clean energy (PACE) financing,"""Implement PACE (property assessed clean energy) funding mechanism to allow for financing of renewable energy by commercial, non-profit, multifamily properties.""",
"Norfolk, Virginia",8,"Educational technology, Energy auditing tools","""Norfolk Public Schools and Private Schools to implement a sustainability curriculum for all K-12 schools, using existing lessons on how to audit your school/classroom for energy use, how to improve energy efficiency of your school, to proposing plans for alternative power including funding sources and for projects to improve carbon absorption through tree plantings etc.""",
"Norfolk, Virginia",14,"Watershed management technologies, resilience funding initiatives.","""Commonwealth of Virginia – City of Norfolk awarded the National Disaster Resilience Competition for the Ohio Creek Watershed Project.""",
"Norfolk, Virginia",15,Electric bus technology,"""Hampton Roads Transit receives grant to purchase battery-powered electric buses""",
"Norfolk, Virginia",19,"Zoning software, urban planning technologies","""The ordinance was rewritten to strengthen the City’s commitment to vibrant neighborhoods, economic diversity, and coastal resilience.""",
"Norfolk, Virginia",20,"Green infrastructure design, natural asset management","""The plan seeks to design the coastal community of the future by using the city’s natural assets to improve environmental and community health and to protect infrastructure.""",
"Norfolk, Virginia",21,"Urban planning, transportation design, green infrastructure","""Complete Streets are streets that are designed—or redesigned—and operated to allow safe access to all people, regardless of age, ability, income, ethnicity, or chosen mode of travel, including pedestrians, bicyclists, motorists and transit riders.""",
"Norfolk, Virginia",22,Energy management software,"""General Services is transitioning to EnergyCap Software to make the process electronic rather than manual.""",
"Norfolk, Virginia",23,"Energy-efficient appliances, LED lighting, automated systems","""Actions made by General Services that increase energy efficiency include: replacing old, broken down AC units with more energy efficient units; transitioning lighting in buildings and parking garages to LED; installing automated towel dispensers, faucets, toilets, and lights in City Hall restrooms, as well as throughout Slover Library and New Courts Building.""",
"Norfolk, Virginia",24,"LED lights, automatic shut off systems, motion detectors","The plan includes ""LED and automatic shut off lights, and motion detectors on lights"" to enhance energy efficiency in buildings.",
"Norfolk, Virginia",26,Solar energy,"""Encourage the use of solar on municipal and school facilities. Work with city staff and Norfolk Public Schools to develop an RFP for solar on municipal and school facilities.""",
"Norfolk, Virginia",28,"Solar power, battery backup","""Create resilient shelters by installing solar plus battery backup at schools and existing shelters; identify potential grant assistance. Bring on one shelter per year.""",
"Norfolk, Virginia",29,Solar PV systems,"""Work with NRHA to identify funding sources and mechanisms to install solar PV for 5 percent of energy demand.""",
"Norfolk, Virginia",30,"On-bill financing, tax incentives, PACE financing tools, zero-interest loans","""Research opportunities for 'green zones'; on-bill financing; tax incentives and PACE financing tools that would enable local businesses to cost-effectively pursue energy efficiency upgrades in their buildings and operations. Explore with philanthropic community zero-interest, short-term loans to retro-fit and upgrade public housing.""",
"Norfolk, Virginia",31,Centralized energy management systems,"""Expand centralized plant control to include more municipal buildings and facilities.""",
"Norfolk, Virginia",33,"Energy audits, industrial technology programs","""Sponsor annual educational outreach of Department of Energy’s Industrial Technology Program to the Norfolk business community, which sponsors energy audits for manufacturing plants.""",
"Norfolk, Virginia",34,Incentive program technologies,"""Offer (non-financial) incentives or otherwise encourage residents to bicycle or walk to daily destinations.""",
"Norfolk, Virginia",35,Vehicle tracking systems,"""Support the City's No Idling Policy for municipal vehicles and implement a system to track idling and vehicle use; support and find new ways to reduce municipal vehicle use, modeled after Waste Management Policy.""",
"Norfolk, Virginia",36,Regional planning tools,"""Work with adjacent localities to plan for regional transportation, housing, and infrastructure patterns that will minimize car-dependency and the conversion of green space, farms and forested areas.""",
"Norfolk, Virginia",37,Telecommuting incentives and public transit assistance,"""Support workers living within Norfolk and within walking or public transit distance to their employment. Encourage employers to include incentives and education for telecommuting.""",
"Norfolk, Virginia",38,Composting technology,"""Support Keep Norfolk Beautiful in identifying barriers to a composting program for single-family users; Begin finding solutions to overcome barriers.""",
"Norfolk, Virginia",40,"Deconstruction technologies, salvage operations","""When appropriate, promote alternatives to traditional building demolition such as relocation, deconstruction and salvage, including identifying and removing barriers and disincentives.""",
"Norfolk, Virginia",41,"Community engagement platforms, incentive programs","""Encourage offices, schools, community groups, soccer teams, etc. to host their own Team Up 2 Clean Up.""",
"Norfolk, Virginia",73,"Waste sorting technology, transfer station infrastructure","""At the Norfolk Transfer Station waste is sorted into combustible and non-combustible waste.""",
"Norfolk, Virginia",80,"Rail systems, freight rail services","""Rail is an extremely efficient method of transporting people and goods long distances. A single train is capable of moving the same amount of freight as two hundred and eighty trucks. In addition, trains are on average four times more fuel efficient than trucks.""",
"Norfolk, Virginia",84,"RDF plant, CACP software","""The emissions due to controlled incineration at the RDF plant were also calculated with the CACP software.""",
"New Orleans, Louisiana",10,"Innovative financing, renewable energy, energy efficiency, water management, green infrastructure","""Green Banks are mission-driven institutions that use innovative financing to accelerate the transition to clean energy and fight climate change. By leveraging public investment and resources, green banks help communities overcome barriers and attract private capital to increase investment in green projects such as renewable energy, energy efficiency, water management and green infrastructure.""",
"New Orleans, Louisiana",11,Contract management technology,"The City is ""creating a green infrastructure maintenance plan that includes our contract 'debundling' process"" to provide more opportunities for local contractors.",
"New Orleans, Louisiana",12,Digital dashboard technology,"""The City will establish a climate action dashboard on the City’s website by the end of 2023, so progress can be tracked annually.""",
"New Orleans, Louisiana",13,Clean electricity solutions,"""More recently, the Biden-Harris administration has set an ambitious national goal — 100% clean electricity by 2035.""",
"New Orleans, Louisiana",14,"Solar energy systems, photovoltaic panels","""The City plans to install by 2025 a 6.4MW solar farm at the former Agriculture Street landfill.""",
"New Orleans, Louisiana",15,Electrification technologies,"""the City can still lead by example by electrifying its own buildings and encourage others to follow suit by sharing the economic and health benefits to ending fossil fuel use in buildings.""",
"New Orleans, Louisiana",16,Community gardening techniques,"""Greenlight’s healthy food initiative has built over 600 community gardens, increasing access to fresh, locally-sourced produce for more than 1,200 individuals.""",
"New Orleans, Louisiana",17,Solar technology,AAE has advocated for the Community Solar program to make solar accessible for all New Orleanians.,
"New Orleans, Louisiana",18,"Urban design, transportation planning","""Complete Streets initiative that prioritizes street design that benefits all users with a focus on people walking, bicycling, and riding transit.""",
"New Orleans, Louisiana",19,Fleet electrification planning technology,"The City will lead by example by transitioning its own fleet of vehicles and developing a ""citywide EV strategic plan to set a direction for all of these electrification efforts.""",
"New Orleans, Louisiana",20,"Composting systems, backyard compost bins, stormwater management techniques","""Compost NOW meets the demand for a free, easy, convenient, and reliable composting service for New Orleanians."" The organization has ""diverted over 400,000 pounds of food waste from landfills"" and provides ""a DIY composting program, distributing over 150 backyard compost bins."" The composted material can ""be used to organically enrich soil, feed farm animals, and more,"" and ""compost-enriched soil has better water retention qualities, making it a valuable asset in efforts to slow & store stormwater to reduce flooding.""",
"New Orleans, Louisiana",21,"Glass recycling technology, waste collection and processing systems","""Glass Half Full is a local L3C which diverts used glass products from landfills and converts them into sand and cullet."" These products are then used for ""disaster relief efforts, creating new glass products, and more.""",
"New Orleans, Louisiana",22,"Rain barrels, greenspace, permeable materials","The City is focusing on ""green infrastructure systems [that] naturally hold and retain stormwater,"" such as ""rain barrels, a row of trees along the neutral ground, or replacing impermeable surfaces with greenspace or permeable materials.""",
"New Orleans, Louisiana",23,"Solar power, battery storage systems","""The City has committed funds to Together New Orleans’ Community Lighthouse project, which will create 16 solar and battery-powered resilience hubs at churches and community centers across the City.""",
"New Orleans, Louisiana",24,"Substation infrastructure, transmission voltage electricity","""The construction of the new Sullivan substation that will serve transmission voltage electricity to SWB’s Carrollton facility... is estimated to reduce SWB’s emissions at the plant by one-third.""",
"New Orleans, Louisiana",25,Investment management systems,"""Divest the City’s investments in fossil fuels and invest in clean energy and climate solutions.""",
"New Orleans, Louisiana",26,Energy efficiency technologies,"""Reduce energy use in City buildings by an additional 17% by 2030""",
"New Orleans, Louisiana",27,Not specified,"""CAEG: Place bike share locations in underserved neighborhoods""",
"New Orleans, Louisiana",28,Tree planting technology,"""Plant 40,000 trees by 2030""",
"New Orleans, Louisiana",29,Green infrastructure technology,"""Complete 15 green infrastructure projects by 2035"" to ""divert 80M gallons from stormwater system.""",
"Washington, D.C.",6,Design and engineering technologies,The Department of Energy and Environment (DOEE) is “developing a set of resilient design guidelines to support smart investments in buildings and infrastructure.”,
"Washington, D.C.",8,"Cool roofs, solar shading, shade trees","""Expand existing incentive programs to include thermal safety and UHI mitigation measures, such as cool roofs, solar shading, and shade trees.""",
"Washington, D.C.",9,Not specified,"""Discuss"" strategies related to financial mechanisms aimed at addressing the urban heat island effect.",
"Washington, D.C.",12,"Green infrastructure, rain gardens, green roofs, rain barrels","""DOEE’s Stormwater Retention Credit (SRC) Trading Program allows property developers to meet green infrastructure mandates by purchasing off-site credits."" This program incentivizes the development of green infrastructure, which ""can slow, capture, and filter stormwater runoff.""",
"Washington, D.C.",13,Design guidelines integration tools,"""The District is developing a series of resilient design guidelines to inform the design of public buildings and infrastructure.""",
"Washington, D.C.",14,"Monitoring stations, historical rainfall data analysis","""Develop climate-change adjusted Intensity-Duration-Frequency (IDF) curves to inform decisions about stormwater management.""",
"Washington, D.C.",15,"Green infrastructure, stormwater retrofitting","""The program emphasizes use of green infrastructure, and helped initiate thousands of stormwater retrofits.""",
"Washington, D.C.",17,Incentive programs,"""Provide incentives to encourage private property owners and developers to implement flood-resiliency measures.""",
"Washington, D.C.",18,Resilient design,"""The District is developing resilient design guidelines to prepare schools and other critical public facilities for climate change. This guidance document will inform capital investments, including school modernization projects that improve safety and reduce building operational costs.""",
"Washington, D.C.",19,"Building performance standards, climate projections","""Retrofit existing buildings, and design new buildings and development projects to withstand climate change impacts.""",
"Washington, D.C.",20,"Backup power systems, solar energy, battery storage","""Ensure all identified critical facilities in the District have access to backup power for emergencies. Ensure backup power is elevated above projected flood elevations and, when possible, provided via sustainable and clean energy resources."" This solution enhances the resilience and operational continuity of essential services during natural hazards.",
"Washington, D.C.",21,"Building codes, regulatory frameworks","""The District will assess best practices identified through this process, and determine key findings that should be incorporated into design guidelines, building codes, or regulations.""",
"Washington, D.C.",22,"Green roofs, Cool roofs, Reflective roofing materials","""Several building-level techniques can reduce the UHI’s impact, including green or cool roofs. Green roofs use vegetation to reduce roof temperatures and to remove heat from the surrounding area. Cool roofs are painted white or use reflective materials, allowing them to absorb less heat.""",
"Washington, D.C.",23,training programs,"""To encourage local job growth within the cool and green roofing industry, the District Government will explore adding cool and green roofing training to existing workforce development programs.""",
"Washington, D.C.",25,Mapping technology,"""DOEE has developed surface temperature maps that provide another way of measuring the UHI.""",
"Washington, D.C.",26,"Survey collection technology, public event organization platforms","""The Beat the Heat program was piloted in the Hunting Park neighborhood... and explored how residents cope with heat and what cooling actions may help them in the short-term.""",
"Washington, D.C.",27,None specified directly.,"""Setting more specific performance standards, such as requiring that all evacuation routes can stay operational if 14 inches of rain falls in a 24-hour period.""",
"Washington, D.C.",28,"Volunteer coordination systems, community networks","""In 2017, 30 certified volunteers conducted wellness checks at a senior living facility during a power outage in DC.""",
"Washington, D.C.",29,"Mobile applications, mapping services","""Update District Government sponsored mobile apps and map services to show the locations of cooling centers.""",
"Washington, D.C.",30,"Home resilience audits, flood insurance tracking systems","""This program would act as a source of important information for District residents within the floodplain, providing information about individualized risks and potential solutions."" The program includes ""free home resilience audits, along with incentives for implementing home improvements,"" and could provide ""flood insurance premium discounts for specially constructed homes or direct subsidies.""",
"Washington, D.C.",31,"Resiliency assessment tools, home improvement technologies, monitoring technologies","""The Center for Neighborhood Technology (CNT) is a nonprofit organization... that provides city residents an opportunity to receive a resiliency assessment and financial support to implement retrofits that increase their home’s resiliency to rain-induced flooding."" The program includes services such as ""a home assessment, home improvement guidance, quality assurance during retrofits, and monitoring and support throughout the process.""",
"Washington, D.C.",32,"Urban heat island data analytics, intervention planning tools","""Data developed in steps 1 and 2 will guide the UHI working group’s identification of interventions.""",
"Washington, D.C.",33,"Risk mapping technology, program evaluation technology","""The working group is committed to continuous improvement, ensuring that the UHI risk and opportunity maps and corresponding interventions continue to serve and protect District residents, community resources, and infrastructure over time.""",
"Washington, D.C.",34,"Solar panels, backup power systems, Internet access, recharging stations","""Resilience Hubs are community-serving facilities, augmented to provide comprehensive services and to coordinate resource distribution before, during, or after a natural hazard event."" Hubs will be ""enhanced with solar panels and back-up power to ensure they can operate during outages."" They will provide ""basic supplies, emergency information, Internet, recharging stations, access to heating/cooling, refrigeration for medical supplies, and any other services deemed necessary by the community.""",
"Washington, D.C.",35,"None specifically mentioned, but implies management technology for coordination","""The District Government will collaborate in developing an operating agreement between community partners, building owners, and supporting agencies.""",
"Washington, D.C.",38,"Checklists, planning tools","""All District agencies will soon have access to a resilience checklist, a tool and resource designed to help integrate climate change considerations into development and capital planning projects.""",
"Washington, D.C.",41,"Climate projections, monitoring and evaluation procedures","""Establish policies, structures, and monitoring evaluation procedures to ensure successful implementation of the adaptation plan."" This includes the review and update of climate projections every five years.",
"Washington, D.C.",42,Green infrastructure technology,"""Investments to date include... implementing green infrastructure solutions.""",
"Washington, D.C.",44,"Streets, parks, bioswales, pipes","""Infrastructure that is designed to control or prevent urban flooding (aka cloudburst or interior flooding) by using green infrastructure concepts.""",
"Washington, D.C.",45,"community facilities, resource distribution services","""Community-serving facilities, augmented to support residents and to coordinate resource distribution and services before, during, or after a natural hazard event.""",
"Washington, DC",5,Not specified.,"""Groundbreaking support to prepare DC’s workforce for the impacts of automation, expanding training opportunities while nurturing growth in promising sectors.""",
"Washington, DC",18,Not specified in the content.,"""Climate Ready DC summarizes the expected impact of climate change on built infrastructure and community resources. It also outlines 77 adaptation strategies, designed to prepare the District for the impacts of climate change.""",
"Washington, DC",21,"Network support, Resilience Strategy development tools, partnerships from various sectors, peer-to-peer learning platforms.","""100 Resilient Cities (100RC) — pioneered by The Rockefeller Foundation — is a global network that helps cities around the world become more resilient to the physical, social, and economic challenges that are a growing part of the 21st century."" The program ""supports resilience building at the city level along four pathways.""",
"Washington, DC",22,"Blue-green infrastructure, flood mitigation infrastructure","""Santa Fe, Argentina is revitalizing the site of a former landfill with blue–green and other flood mitigation infrastructure, as well as community assets such as cultural and recreational amenities.""",
"Washington, DC",23,"Smart technology, streetlights","""Vejle is increasing the use of smart technology across the city, starting with streetlights, to improve energy efficiency, mobility, and safety.""",
"Washington, DC",25,Workshop facilitation tools,"""In tandem with this platform, in late 2018, the District held open houses in all eight wards as well as 14 workshops with key stakeholder groups.""",
"Washington, DC",28,"Design tools, stakeholder engagement methods","""Perkins Eastman led a design workshop with cross-sector stakeholders that explored design approaches to yield multiple benefits including mitigating flood risk, enhancing base security, connecting residents to the river, habitat restoration, and other resilience benefits.""",
"Washington, DC",32,"Big data analytics, digital platforms","""Leverage new technology and big data for civic solutions.""",
"Washington, DC",33,"Mobility technology, transport planning systems","""Create a regional advanced mobility strategy.""",
"Washington, DC",35,"Policy advisory frameworks, climate planning tools","""Utilize the expertise of the Commission on Climate Change and Resiliency to advance the District’s climate-related goals.""",
"Washington, DC",37,"Resilient infrastructure, distributed measures, systemic measures","""These measures will move beyond traditional infrastructure investments (e.g. levees) and toward layered, distributed, and systemic measures that work together toward greater resilience.""",
"Washington, DC",39,"Community-centered planning tools, investment alignment technologies","""We will seize this opportunity to lead a community-centered process that aligns ongoing and planned investments to achieve community objectives and lower flood risk.""",
"Washington, DC",54,Solar energy technology.,"""Continue to invest in existing pathways to the green economy, such as Solar Works DC, and explore new green pathways such as high school academies in partnership with businesses.""",
"Washington, DC",60,"website development, user interface design","""Launch 'Front Door,' a user-friendly website to access and learn about programs to facilitate navigating existing programs.""",
"Washington, DC",74,"Mobile payment systems, transportation subsidy systems","""Call on employers to offer paid mobility programs and cash out programs (such as providing cash or transit subsidies to employees who do not park at work).""",
"Washington, DC",75,"Transit coordination software, scheduling systems","""Call on regional transit providers...to improve regional integration (such as coordinated schedules, increased Union Station capacity and frequency, fare integration, free transfers).""",
"Washington, DC",76,"Dynamic pricing models, transportation infrastructure planning","""Study congestion dynamic mobility pricing and how that funding could be dedicated for new transportation infrastructure and subsidies.""",
"Washington, DC",77,"Urban planning technology, pedestrian infrastructure","""Improve walkability and neighborhood amenities through more car-free zones, plazas, and five more Great Streets east of the river.""",
"Washington, DC",84,"Training programs, educational software for green building techniques","""Train the building industry on green building requirements and cutting-edge green building techniques.""",
"Washington, DC",85,Policy development tools,"""Develop policies and programs to support the relocation and removal of uses in areas where building retrofits are inadequate or too expensive, given the level of risk.""",
"Washington, DC",86,Urban planning and flood risk assessment tools,"""Pilot two resilience districts along the Anacostia River to illustrate how coordinated, multi-benefit infrastructure investments can address flood risk and deliver additional benefits.""",
"Washington, DC",88,"Urban design, planning software, public engagement platforms","""Gather lessons learned from the Buzzard Point Vision Framework and Design Review Guide process"" and ""Create or update the respective small area plan, design review guidelines, and/or vision framework, in these neighborhoods considering climate risk.""",
"Washington, DC",89,"Geospatial tools, public management systems","""Publish and maintain a public geospatial tool that communicates climate risk and climate adaptation progress.""",
"Washington, DC",92,"Planning software, performance management systems","""Using findings from agency climate vulnerability assessments, select agencies and develop climate adaptation plans that identify actions to lower climate risk and incorporate these actions into their Agency Performance Plans.""",
"Washington, DC",94,Reporting technology,"""Regularly report on progress at the Commission’s quarterly meetings and disclose climate-related risk and adaptation progress annually in the DC budget.""",
"Washington, DC",95,"Toolkits, climate projections, data sharing systems","""Work with MWCOG to develop a climate adaptation planning toolkit for use by MWCOG jurisdictions, neighboring jurisdictions, and other institutions.""",
"Washington, DC",96,"Map-based tool, data analytics","""Create a map-based tool that combines data on the urban heat island, heat-related illness, tree canopy, land cover, cool roofs, and green infrastructure."" This tool will be used to ""prioritize, accelerate, and evaluate DGS, DDOT, DHS, DPR, and DOEE investments to eliminate urban heat islands.""",
"Washington, DC",97,"Satellite measurements, Ground measurements",“Integrating Satellite and Ground Measurements for Predicting Locations of Extreme Urban Heat.”,
"Washington, DC",100,Photovoltaic technology,"""Solar panels"" harness solar energy, contributing to renewable energy solutions that can improve energy resilience, particularly in response to climate impacts.",
"Washington, DC",101,"Flood risk management programs, digital mapping tools for Flood Insurance Rate Maps, insurance technology solutions.","""This initiative will lower flood risk and the cost of flood insurance for businesses and residents."" It includes ""taking the necessary steps to bring the District’s flood risk management program into good standing with FEMA,"" increasing awareness of flooding risks, and developing supplementary flood insurance.",
"Washington, DC",104,None explicitly mentioned in the content.,"""Pilot Resilience Hubs in trusted community facilities in areas with high climate risk that can act as a place of refuge and hub for resources and information in the event of a disaster.""",
"Washington, DC",105,"solar panels, generator, reserve batteries","""Helps prepare for shocks and builds a more connected community."" The resilience hub is designed to meet community needs by providing resources such as fresh water, food, ice, refrigeration, basic medical supplies, charging stations, and fuel. ""The existing and well-used building is trusted by the community and built to withstand shocks.""",
"Washington, DC",106,Distributed energy systems,"""Microgrids are distributed energy systems that have the ability to separate (or island) themselves from the larger grid. This allows them to maintain power in the event of a larger outage.""",
"Washington, DC",107,"Energy performance contracts, energy-as-a-service contracts, energy efficiency measures, retrofitting technology","""More efficient buildings reduce operating costs, increase thermal comfort, and increase the passive survivability of buildings. When the power goes out, a more efficient building will remain at a comfortable building temperature longer.""",
"Washington, DC",108,"Building energy performance standards, renewable energy technologies","This initiative will ensure implementation of the ""Clean Energy Omnibus Act of 2018,"" which includes establishing a building energy performance standard program and increasing the renewable portfolio standard to 100% by 2032.",
